SC94,(-5.609547913895527e-16, 11.628944018304487)
SC95,(-1.5582077538598687e-17, 11.67437041566112)
SC96,(-1.246566203087895e-16, 12.790111353015954)
SC97,(4.440892098500626e-16, 13.557519496704868)
SC98,(1.7140285292458556e-16, 13.441701867588929)
SC99,(-1.0907454277019081e-16, 14.147559081649709)
SC100,(-5.492682332356038e-16, 13.401344934237288)
SC101,(3.622833027724195e-16, 13.663865528306657)
SC102,(4.98626481235158e-16, 14.586036935296168)
SC103,(3.350146670798718e-16, 14.534725141152965)
SC104,(2.337311630789803e-16, 12.794194328195271)
SC105,(3.467012252338208e-16, 11.234092483018745)
SC106,(2.8826843446407574e-16, 10.66176532804149)
SC107,(-5.297906363123554e-16, 10.92908966372351)
SC108,(1.0615290323170356e-16, 10.80674119580947)
SC109,(-2.824251553871012e-16, 10.853988459589628)
SC110,(6.758726132367181e-16, 10.675240994539001)
SC111,(5.687458301588521e-16, 10.945190437781845)
SC112,(4.2461161292681424e-16, 11.623128081518432)
SC113,(2.648953181561777e-16, 12.451450570962276)
SC114,(0.0, 13.487851193789131)
SC115,(-4.908354424658587e-16, 14.183821508460046)
SC116,(-3.194325895412731e-16, 14.107089920834154)
SC117,(-5.375816750816547e-16, 13.46700568999832)
SC118,(-1.0907454277019081e-16, 12.414572430357085)
SC119,(4.0513401600356587e-16, 11.65639408371594)
SC120,(5.609547913895527e-16, 11.645684906015243)
SC121,(-4.98626481235158e-16, 11.831786118165347)
SC122,(6.427606984671959e-16, 12.056256271942459)
SC123,(-7.791038769299344e-17, 12.387410066929158)
SC124,(2.4541772123292936e-16, 13.327906472745969)
SC125,(8.803873809308259e-16, 15.208746244594716)
SC126,(-5.765368689281515e-16, 16.84492097080013)
SC130,(-2.0256700800178294e-16, 14.81888494224225)
SC131,(-2.648953181561777e-16, 11.916505689936123)
SC132,(-2.4541772123292936e-16, 9.919192015922464)
SC133,(-7.791038769299344e-18, 11.4899001153133)
SC134,(-2.337311630789803e-16, 11.880923652305254)
SC135,(-5.219995975430561e-16, 11.536846112408972)
SC136,(-1.4023869784738819e-16, 10.095959165880632)
SC137,(-2.9605947323337506e-16, 9.08167368528863)
SC138,(3.583877833877698e-16, 8.901354659876965)
SC139,(7.791038769299344e-17, 11.368670747822373)
SC140,(1.4802973661668753e-16, 13.45438517424312)
SC141,(4.1292505477286524e-16, 14.730593933214244)
SC142,(1.0907454277019081e-16, 13.733124549794464)
SC143,(-3.350146670798718e-16, 12.290593932495877)
SC144,(-4.440892098500626e-16, 10.629950175405238)
SC145,(-1.246566203087895e-16, 9.720618385592406)
SC146,(-2.49313240617579e-16, 10.250620428686778)
SC147,(2.337311630789803e-16, 11.079190783214482)
SC148,(-3.7007434154171886e-16, 11.976711108080256)
SC149,(-8.180590707764311e-17, 12.150966445882094)
SC150,(3.428057058491711e-16, 11.94952802665315)
SC151,(-1.5582077538598687e-16, 11.136797252053022)
SC152,(-2.49313240617579e-16, 11.493650122057517)
SC153,(-8.258501095457305e-16, 11.82999260014141)
SC154,(-4.3629817108076325e-16, 12.30278573583039)
SC155,(1.5582077538598687e-17, 12.425867283523775)
SC156,(-2.337311630789803e-17, 12.46096843393557)
SC157,(1.246566203087895e-16, 12.159494178400829)
SC158,(3.895519384649672e-16, 12.058207821567242)
SC159,(-1.7529837230923525e-16, 12.232354862338632)
SC160,(-4.440892098500626e-16, 12.231085409594785)
SC161,(-5.025220006198077e-16, 12.571741357263829)
SC162,(1.5582077538598687e-16, 12.897594997767353)
SC163,(-4.674623261579606e-17, 14.203426044037885)
SC164,(1.830894110785346e-16, 14.964623824119487)
SC165,(9.777753655470677e-16, 16.038956622267328)
SC166,(-4.479847292347123e-16, 16.193265927463983)
SC167,(-6.271786209285972e-16, 15.859079746468137)
SC168,(-8.024769932378325e-16, 15.217181015146382)
SC169,(-5.025220006198077e-16, 14.328931239613617)
SC170,(-1.0517902338554114e-16, 14.176928878446729)
SC171,(-5.531637526202535e-16, 14.749608889590837)
SC172,(-6.622382953904442e-16, 14.976002187199166)
SC173,(6.310741403132469e-16, 15.572504796503267)
SC174,(5.765368689281515e-16, 15.888393922661358)
SC175,(3.661788221570692e-16, 16.336007452964104)
SC176,(8.336411483150299e-16, 17.288957672380075)
SC177,(-1.0128350400089147e-16, 18.3245794915312)
SC178,(1.7140285292458556e-16, 19.616821269910954)
SC179,(5.453727138509541e-16, 19.460515016616938)
SC180,(3.505967446184705e-16, 18.78544059056047)
SC181,(5.453727138509541e-16, 16.728633699534377)
SC182,(2.337311630789803e-16, 15.34665565325792)
SC183,(-4.908354424658587e-16, 14.508156674066516)
SC184,(-9.97252962470316e-16, 14.11612406585087)
SC185,(4.3629817108076325e-16, 14.405710889962991)
SC186,(-1.7140285292458556e-16, 14.396471518342102)
SC187,(3.350146670798718e-16, 14.656123399548449)
SC188,(5.531637526202535e-16, 14.81126533709484)
SC189,(7.1288004739089e-16, 15.105639651913842)
